source_id_Gaia,e_bp_min_rp_val_Gaia
4184143881214538240,0.066
4183949198935967232,0.1452
4183939062813243904,0.375
4087762027643173376,0.0523
4183930438518524928,0.146
4183946377129616384,0.4473
4088107995849289216,0.627
4183935794330206208,0.6827
4184188961192147968,0.2287
4087799621507741184,0.2403
4088073876634320896,0.349
4184157659469838336,0.379
4183861684680803840,0.446
4087860506965490688,0.1543
4184198788077656064,0.278
4088004611707768320,0.11699999999999999
4088057521393630720,0.163
4087737327300663808,0.046
4087782677845919744,0.14
4087736159069458432,0.1095
4184182737768311296,0.225
4184146900561610752,0.1583
4087858819031214080,0.3743
4184167928723405312,0.196
4183968401721906176,0.1442
4183867079159884800,0.188
4183850105448920576,0.10099999999999999
4088060892960421376,0.133
4088060686802235392,0.331
4088051783318575616,0.161
4088042888457322496,0.1293
4088034161083427840,0.151
4087847862581712896,0.475
4087838104415874048,0.2557
4087825563110796800,0.086
4087799655867454464,0.146
4087770239621640704,0.2415
4087762371240557568,0.12300000000000001
4087714409360276992,0.2085
4087622153460553216,0.1077
4087824807196545536,0.4207
